Change Physical Footprint: Designator=L12 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=L13 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=LED1 Old Footprint=0805[IMP] New Footprint=0805[IMP]
Change Physical Footprint: Designator=R1 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R2 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R3 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R4 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R5 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R6 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R7 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R8 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R9 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R10 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R11 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R12 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R13 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R14 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R15 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R16 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R17 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R18 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R19 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=R20 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=U1 Old Footprint=SO-8_N New Footprint=SO-8_N
Change Physical Footprint: Designator=U2 Old Footprint=SO-8_N New Footprint=SO-8_N
Change Physical Footprint: Designator=U3 Old Footprint=SOT-223 New Footprint=SOT-223
Change Physical Footprint: Designator=U4 Old Footprint=RGZ(S-PVQFN-N48) - duplicate New Footprint=RGZ(S-PVQFN-N48) - duplicate
Change Physical Footprint: Designator=U5 Old Footprint=TSLP-10-1 New Footprint=TSLP-10-1
Change Physical Footprint: Designator=U6 Old Footprint=MSOP-8 New Footprint=MSOP-8
Change Physical Footprint: Designator=U7 Old Footprint=MSOP-8 New Footprint=MSOP-8
Change Physical Footprint: Designator=U8 Old Footprint=MSOP-8 New Footprint=MSOP-8
Change Physical Footprint: Designator=U9 Old Footprint=MSOP-8 New Footprint=MSOP-8
Change Physical Footprint: Designator=Y1 Old Footprint=FC-135 New Footprint=FC-135
Change Physical Footprint: Designator=Y2 Old Footprint=TSX-3225 New Footprint=TSX-3225
